shipment_id,order_id,origem,destino,transportadora,data_envio,data_entrega,prazo_dias,custo,status
64,64,SC,RS,Trans B,2024-01-10,2024-01-18,5,260.51,atraso
65,65,DF,PR,Trans A,2024-04-03,2024-04-08,3,457.55,atraso
66,66,MG,PR,Trans B,2024-03-04,2024-03-10,6,407.65,entregue
67,67,RS,PR,Trans D,2024-07-10,2024-07-14,5,443.13,entregue
68,68,RJ,PE,Trans B,2024-01-07,2024-01-11,4,408.6,entregue
69,69,BA,DF,Trans D,2024-06-20,2024-06-30,7,192.06,atraso
70,70,RJ,GO,Trans A,2024-08-11,2024-08-15,4,173.42,entregue
71,71,RS,SP,Trans D,2024-03-19,2024-03-25,3,173.63,atraso
72,72,PE,RJ,Trans B,2024-03-25,2024-03-28,4,486.09,entregue
73,73,MG,PE,Trans C,2024-06-13,2024-06-17,3,492.08,entregue
74,74,BA,SP,Trans E,2024-08-28,2024-08-31,3,155.0,entregue
75,75,MG,GO,Trans C,2024-01-28,2024-01-29,1,385.99,entregue
76,76,PE,PR,Trans C,2024-06-04,2024-06-09,4,457.79,cancelado
77,77,GO,MG,Trans B,2024-01-12,2024-01-17,3,298.37,atraso
78,78,SP,RS,Trans E,2024-07-03,2024-07-12,6,232.97,em trânsito
79,79,SC,GO,Trans A,2024-08-23,2024-08-29,6,358.62,entregue
80,80,PR,GO,Trans A,2024-08-18,2024-08-24,6,360.1,entregue
81,81,SC,MG,Trans C,2024-06-27,2024-06-30,4,160.57,entregue
82,82,RJ,SP,Trans D,2024-07-10,2024-07-19,6,250.55,cancelado
83,83,GO,RS,Trans A,2024-03-14,2024-03-18,3,334.8,entregue
84,84,PE,BA,Trans C,2024-04-23,2024-04-26,4,294.69,entregue
85,85,SP,MG,Trans B,2024-01-22,2024-01-29,6,345.84,entregue
86,86,PR,PE,Trans C,2024-07-28,2024-07-30,1,174.35,cancelado
87,87,RJ,MG,Trans B,2024-01-07,2024-01-09,2,336.74,entregue
88,88,PE,SC,Trans A,2024-04-16,2024-04-23,4,381.71,atraso
89,89,BA,PE,Trans D,2024-04-12,2024-04-17,4,368.8,entregue
90,90,DF,RJ,Trans A,2024-04-18,2024-04-26,7,297.54,entregue
91,91,RJ,GO,Trans A,2024-03-04,2024-03-10,5,136.0,cancelado
92,92,BA,DF,Trans D,2024-05-15,2024-05-24,6,479.02,cancelado
93,93,RJ,BA,Trans D,2024-07-27,2024-08-06,5,428.84,atraso
94,94,DF,MG,Trans E,2024-08-17,2024-08-21,4,269.03,entregue
95,95,DF,GO,Trans B,2024-06-12,2024-06-20,7,283.53,entregue
96,96,MG,GO,Trans B,2024-04-22,2024-04-25,3,178.49,entregue
97,97,SP,GO,Trans C,2024-08-16,2024-08-18,3,143.35,entregue
98,98,RS,PE,Trans D,2024-02-09,2024-02-17,6,254.24,atraso
99,99,PE,PR,Trans C,2024-04-29,2024-05-03,5,429.81,entregue
100,100,MG,PE,Trans D,2024-05-29,2024-06-06,7,280.33,cancelado
101,101,RJ,PR,Trans C,2024-07-11,2024-07-14,3,306.05,entregue
102,102,DF,SC,Trans E,2024-06-03,2024-06-15,7,172.16,atraso
103,103,BA,MG,Trans D,2024-01-08,2024-01-13,4,365.24,entregue
104,104,DF,BA,Trans D,2024-02-12,2024-02-21,6,491.9,atraso
105,105,BA,DF,Trans E,2024-08-20,2024-08-22,1,358.46,entregue
106,106,RJ,PE,Trans A,2024-04-19,2024-04-25,6,156.33,entregue
107,107,GO,MG,Trans C,2024-03-24,2024-03-28,4,221.75,entregue
108,108,BA,RJ,Trans D,2024-07-11,2024-07-16,3,430.66,cancelado
109,109,SC,PE,Trans D,2024-07-10,2024-07-11,1,174.17,entregue
110,110,DF,MG,Trans A,2024-06-15,2024-06-21,7,478.84,entregue
111,111,PR,DF,Trans B,2024-01-06,2024-01-12,7,133.01,entregue
112,112,RS,PE,Trans A,2024-02-25,2024-03-01,5,402.1,entregue
113,113,PE,SP,Trans B,2024-06-04,2024-06-12,5,406.67,em trânsito
114,114,MG,SC,Trans B,2024-01-28,2024-01-31,3,321.83,entregue
115,115,GO,RJ,Trans D,2024-07-02,2024-07-07,4,370.06,entregue
116,116,SP,GO,Trans B,2024-06-27,2024-06-30,1,414.42,atraso
117,117,BA,RS,Trans E,2024-01-11,2024-01-18,7,357.84,entregue
118,118,SP,SC,Trans A,2024-06-14,2024-06-19,5,425.38,entregue
119,119,MG,PR,Trans A,2024-04-02,2024-04-06,4,377.07,entregue
120,120,GO,RS,Trans D,2024-07-06,2024-07-09,2,193.43,entregue
121,121,PE,MG,Trans E,2024-05-03,2024-05-11,7,328.84,entregue
122,122,BA,GO,Trans C,2024-03-03,2024-03-12,7,197.15,atraso
123,123,PE,PR,Trans D,2024-07-11,2024-07-14,2,360.64,entregue
124,124,RJ,GO,Trans C,2024-05-06,2024-05-10,1,284.77,atraso
125,125,SP,BA,Trans C,2024-03-07,2024-03-15,7,374.5,entregue
126,126,PR,DF,Trans C,2024-01-03,2024-01-07,5,115.96,entregue
127,127,RJ,GO,Trans D,2024-05-22,2024-05-31,4,351.28,atraso
128,128,GO,SP,Trans D,2024-07-21,2024-07-25,4,173.07,entregue
129,129,PE,PR,Trans B,2024-06-18,2024-06-21,3,312.46,entregue
130,130,RJ,SC,Trans C,2024-07-09,2024-07-13,4,375.2,entregue
131,131,PE,GO,Trans C,2024-03-05,2024-03-09,3,160.89,entregue
132,132,SC,RJ,Trans A,2024-05-17,2024-05-26,6,160.45,em trânsito
133,133,RS,SP,Trans D,2024-07-04,2024-07-08,3,330.65,entregue
134,134,RS,SP,Trans A,2024-02-19,2024-02-26,7,155.37,entregue
135,135,RS,PE,Trans A,2024-05-16,2024-05-21,6,489.2,entregue
136,136,GO,PR,Trans E,2024-06-27,2024-07-03,3,123.09,cancelado
137,137,BA,RJ,Trans A,2024-03-13,2024-03-18,5,223.1,entregue
138,138,SC,DF,Trans A,2024-08-28,2024-09-02,3,425.29,atraso
139,139,PE,RJ,Trans D,2024-01-19,2024-01-24,4,102.52,entregue
140,140,GO,SC,Trans B,2024-05-24,2024-06-01,7,129.75,em trânsito
141,141,BA,RS,Trans D,2024-06-01,2024-06-09,5,405.79,atraso
142,142,RJ,GO,Trans D,2024-08-20,2024-08-25,4,495.81,entregue
143,143,MG,PE,Trans C,2024-06-07,2024-06-13,5,121.68,entregue
144,144,DF,RJ,Trans B,2024-02-24,2024-02-29,6,145.96,entregue
145,145,RJ,GO,Trans B,2024-01-20,2024-01-25,5,269.21,entregue
146,146,SC,BA,Trans E,2024-03-15,2024-03-19,4,376.92,entregue
147,147,BA,DF,Trans D,2024-06-24,2024-06-25,1,410.89,entregue
148,148,SP,RS,Trans E,2024-07-24,2024-08-01,6,308.72,em trânsito
149,149,PR,MG,Trans B,2024-07-30,2024-08-01,3,149.69,entregue
150,150,PR,SP,Trans C,2024-07-10,2024-07-19,5,264.44,atraso
151,151,SC,PR,Trans D,2024-03-18,2024-03-24,6,290.2,entregue
152,152,GO,SP,Trans D,2024-01-21,2024-01-25,4,388.5,entregue
153,153,DF,BA,Trans E,2024-01-07,2024-01-11,3,431.1,entregue
154,154,PR,SC,Trans E,2024-01-06,2024-01-14,5,322.02,cancelado
155,155,PE,GO,Trans B,2024-05-12,2024-05-16,4,156.23,entregue
156,156,SP,PR,Trans E,2024-06-11,2024-06-17,4,277.4,atraso
157,157,BA,RS,Trans D,2024-03-23,2024-03-25,3,218.52,entregue
158,158,MG,SC,Trans D,2024-06-18,2024-06-24,3,271.03,em trânsito
159,159,PR,DF,Trans C,2024-03-23,2024-03-26,3,443.26,entregue
160,160,GO,MG,Trans A,2024-08-10,2024-08-16,6,102.77,entregue
161,161,BA,DF,Trans E,2024-06-08,2024-06-16,3,399.2,atraso
162,162,GO,PR,Trans B,2024-05-20,2024-05-23,3,264.01,entregue
163,163,MG,GO,Trans D,2024-01-08,2024-01-12,1,378.11,em trânsito
164,164,DF,PR,Trans C,2024-01-04,2024-01-08,5,174.37,entregue
165,165,GO,RS,Trans A,2024-01-31,2024-02-03,4,289.32,entregue
166,166,PE,SC,Trans C,2024-06-29,2024-07-04,5,491.7,entregue
167,167,DF,GO,Trans B,2024-05-21,2024-05-24,4,467.18,entregue
168,168,GO,MG,Trans E,2024-08-13,2024-08-18,6,196.02,entregue
169,169,BA,RS,Trans D,2024-08-27,2024-09-03,3,424.63,atraso
170,170,PE,SP,Trans C,2024-03-17,2024-03-28,6,443.41,atraso
171,171,RJ,DF,Trans D,2024-05-03,2024-05-09,5,400.41,entregue
172,172,MG,BA,Trans D,2024-08-26,2024-08-29,4,491.93,entregue
173,173,BA,DF,Trans B,2024-04-08,2024-04-13,5,98.33,entregue
174,174,BA,DF,Trans D,2024-08-21,2024-09-01,6,495.13,atraso
175,175,SP,DF,Trans B,2024-01-10,2024-01-15,4,219.44,entregue
176,176,DF,RJ,Trans A,2024-08-04,2024-08-12,7,462.39,entregue
177,177,DF,SC,Trans A,2024-02-06,2024-02-13,6,487.38,entregue
178,178,MG,DF,Trans A,2024-07-19,2024-07-25,4,352.93,cancelado
179,179,BA,SP,Trans C,2024-06-21,2024-07-03,7,480.74,atraso
180,180,MG,PE,Trans D,2024-05-18,2024-05-24,7,178.6,entregue
181,181,GO,MG,Trans C,2024-07-10,2024-07-11,2,399.36,entregue
182,182,PE,RJ,Trans A,2024-02-12,2024-02-15,4,99.32,entregue
183,183,SC,MG,Trans A,2024-04-01,2024-04-03,3,182.56,entregue
184,184,PR,RS,Trans D,2024-06-23,2024-07-01,5,153.53,atraso
185,185,GO,BA,Trans E,2024-04-07,2024-04-13,7,289.02,entregue
186,186,RS,RJ,Trans E,2024-02-29,2024-03-02,2,273.02,entregue
187,187,DF,BA,Trans A,2024-04-29,2024-05-09,7,111.02,em trânsito
188,188,SC,BA,Trans C,2024-03-17,2024-03-22,5,369.93,entregue
189,189,RS,GO,Trans D,2024-03-18,2024-03-25,7,438.4,entregue
190,190,RS,SC,Trans A,2024-04-07,2024-04-10,2,204.27,entregue
191,191,GO,SC,Trans C,2024-07-31,2024-08-01,1,83.4,entregue
192,192,GO,PR,Trans A,2024-07-09,2024-07-14,5,405.81,entregue
193,193,SC,DF,Trans B,2024-07-24,2024-07-30,5,159.86,entregue
194,194,PE,RS,Trans C,2024-07-12,2024-07-21,6,343.86,atraso
195,195,MG,RJ,Trans A,2024-07-20,2024-07-24,3,233.24,entregue
196,196,PR,RS,Trans B,2024-08-20,2024-08-22,1,254.51,entregue
197,197,RJ,SC,Trans B,2024-07-20,2024-07-22,2,302.96,entregue
198,198,DF,GO,Trans C,2024-02-12,2024-02-19,7,486.3,entregue
199,199,RS,SP,Trans C,2024-08-10,2024-08-15,6,276.7,entregue
200,200,DF,GO,Trans A,2024-07-12,2024-07-17,2,486.25,cancelado
201,201,PR,MG,Trans E,2024-01-24,2024-01-29,3,191.07,atraso
202,202,PE,RS,Trans A,2024-04-04,2024-04-09,4,190.11,entregue
203,203,SP,GO,Trans D,2024-06-12,2024-06-20,7,278.02,em trânsito
204,204,RS,MG,Trans E,2024-03-24,2024-03-30,5,346.87,em trânsito
205,205,PE,SP,Trans D,2024-03-18,2024-03-23,6,138.71,entregue
206,206,GO,PR,Trans A,2024-05-06,2024-05-08,3,452.65,entregue
207,207,SC,DF,Trans B,2024-04-26,2024-05-01,4,372.52,entregue
208,208,BA,SP,Trans E,2024-05-30,2024-06-06,4,451.87,atraso
209,209,GO,PE,Trans A,2024-05-05,2024-05-12,7,93.74,entregue
210,210,RJ,DF,Trans C,2024-04-23,2024-04-24,2,439.29,entregue
211,211,DF,PE,Trans A,2024-04-04,2024-04-11,6,230.64,entregue
212,212,RS,PR,Trans D,2024-02-18,2024-02-23,3,358.36,em trânsito
213,213,GO,SP,Trans E,2024-01-13,2024-01-17,1,495.3,atraso
214,214,GO,SP,Trans E,2024-01-18,2024-01-23,2,326.28,atraso
215,215,RS,MG,Trans B,2024-07-17,2024-07-21,3,81.19,entregue
216,216,SP,DF,Trans B,2024-05-18,2024-05-19,2,126.17,entregue
217,217,BA,GO,Trans A,2024-01-04,2024-01-05,2,327.32,entregue
218,218,RS,RJ,Trans A,2024-03-08,2024-03-11,2,256.8,entregue
219,219,RS,PR,Trans A,2024-01-17,2024-01-23,6,295.56,entregue
220,220,PE,MG,Trans A,2024-05-08,2024-05-13,4,98.21,entregue
221,221,BA,MG,Trans E,2024-04-27,2024-04-29,3,105.55,entregue
222,222,SP,MG,Trans D,2024-04-12,2024-04-18,7,285.91,entregue
223,223,PE,GO,Trans D,2024-08-18,2024-08-20,1,142.3,entregue
224,224,GO,MG,Trans B,2024-06-08,2024-06-12,3,379.1,entregue
225,225,DF,SP,Trans D,2024-05-15,2024-05-21,5,334.28,entregue
226,226,SP,RS,Trans A,2024-06-28,2024-07-06,7,353.38,entregue
227,227,SP,BA,Trans E,2024-08-09,2024-08-15,6,453.0,entregue
228,228,SP,PR,Trans D,2024-07-30,2024-08-02,3,386.44,entregue
229,229,DF,SC,Trans C,2024-03-21,2024-03-25,4,480.51,entregue
230,230,GO,RS,Trans D,2024-01-24,2024-01-27,1,261.39,atraso
231,231,SP,MG,Trans C,2024-02-03,2024-02-11,7,481.78,entregue
232,232,SC,RS,Trans E,2024-06-20,2024-06-23,3,446.92,entregue
233,233,SP,RS,Trans D,2024-08-22,2024-09-02,7,332.17,atraso
234,234,GO,BA,Trans C,2024-05-27,2024-05-27,1,355.83,entregue
235,235,RS,PE,Trans B,2024-01-28,2024-02-05,7,234.38,entregue
236,236,SP,SC,Trans C,2024-02-27,2024-03-05,5,335.78,atraso
237,237,GO,DF,Trans C,2024-02-16,2024-02-17,1,467.05,entregue
238,238,GO,PE,Trans C,2024-02-16,2024-02-22,1,109.23,atraso
239,239,PE,SP,Trans A,2024-07-10,2024-07-11,1,256.33,entregue
240,240,PR,SC,Trans C,2024-04-04,2024-04-06,2,406.27,entregue
241,241,MG,RJ,Trans E,2024-01-22,2024-01-30,5,146.11,atraso
242,242,SP,SC,Trans E,2024-06-21,2024-06-22,1,358.01,entregue
243,243,PR,SC,Trans D,2024-04-23,2024-04-27,5,397.08,entregue
244,244,SC,BA,Trans A,2024-04-20,2024-04-24,3,364.96,entregue
245,245,DF,SP,Trans D,2024-06-19,2024-06-23,5,246.01,entregue
246,246,SP,BA,Trans E,2024-01-02,2024-01-02,1,402.29,entregue
247,247,RS,SP,Trans C,2024-03-24,2024-03-27,3,393.75,entregue
248,248,BA,GO,Trans B,2024-04-07,2024-04-08,2,290.11,entregue
249,249,PE,RS,Trans C,2024-04-11,2024-04-14,1,263.21,atraso
250,250,RS,DF,Trans D,2024-08-08,2024-08-09,1,320.83,entregue
251,251,RJ,SC,Trans D,2024-01-30,2024-02-02,3,152.19,entregue
252,252,MG,DF,Trans E,2024-07-31,2024-08-04,4,117.01,entregue
253,253,DF,PR,Trans A,2024-04-21,2024-04-24,2,113.03,entregue
254,254,PE,SC,Trans C,2024-03-27,2024-04-01,6,112.08,entregue
255,255,RJ,BA,Trans A,2024-05-10,2024-05-15,5,227.46,entregue
256,256,RJ,PR,Trans B,2024-01-27,2024-01-28,2,152.87,entregue
257,257,PE,RS,Trans B,2024-07-13,2024-07-19,7,479.54,entregue
258,258,SC,DF,Trans D,2024-07-12,2024-07-17,4,268.54,entregue
259,259,PR,SP,Trans E,2024-06-11,2024-06-19,6,143.4,cancelado
260,260,GO,DF,Trans A,2024-04-23,2024-04-27,4,328.4,entregue
261,261,PR,RJ,Trans C,2024-01-19,2024-01-24,5,95.8,entregue
262,262,SC,SP,Trans C,2024-03-14,2024-03-20,7,338.3,entregue
263,263,SP,RJ,Trans E,2024-04-28,2024-05-03,4,456.27,entregue
264,264,MG,PE,Trans D,2024-05-26,2024-06-02,7,334.1,entregue
265,265,BA,MG,Trans E,2024-01-16,2024-01-18,2,492.6,entregue
266,266,MG,RJ,Trans A,2024-06-14,2024-06-18,5,377.2,entregue
267,267,MG,GO,Trans D,2024-05-13,2024-05-18,5,236.6,entregue
268,268,MG,PR,Trans C,2024-04-14,2024-04-20,4,411.48,atraso
269,269,GO,SP,Trans C,2024-03-25,2024-03-27,1,242.36,entregue
270,270,RS,DF,Trans C,2024-08-06,2024-08-13,6,446.78,entregue
271,271,BA,GO,Trans C,2024-05-29,2024-05-30,1,210.3,entregue
272,272,BA,PE,Trans D,2024-06-01,2024-06-05,2,210.02,atraso
273,273,SP,BA,Trans D,2024-07-21,2024-07-26,6,361.45,entregue
274,274,DF,RS,Trans E,2024-06-14,2024-06-16,1,231.97,entregue
275,275,RJ,PE,Trans C,2024-02-16,2024-02-21,3,160.64,cancelado
276,276,GO,RJ,Trans B,2024-01-20,2024-01-21,2,293.23,entregue
277,277,SP,DF,Trans E,2024-07-08,2024-07-17,7,358.01,atraso
278,278,PE,SP,Trans E,2024-06-01,2024-06-02,2,155.96,entregue
279,279,RS,GO,Trans E,2024-08-19,2024-08-26,7,98.35,entregue
280,280,BA,GO,Trans C,2024-07-03,2024-07-09,6,336.45,entregue
281,281,SC,SP,Trans D,2024-05-16,2024-05-18,2,459.67,entregue
282,282,MG,SC,Trans B,2024-06-22,2024-06-27,3,403.16,cancelado
283,283,PE,MG,Trans D,2024-05-15,2024-05-19,5,423.09,entregue
284,284,PE,MG,Trans E,2024-08-11,2024-08-14,2,281.85,entregue
285,285,RS,SC,Trans C,2024-08-27,2024-09-02,5,437.49,entregue
286,286,PE,SP,Trans C,2024-07-14,2024-07-15,1,460.23,entregue
287,287,PE,MG,Trans B,2024-04-21,2024-04-27,7,423.02,entregue
288,288,SP,PE,Trans C,2024-04-16,2024-04-18,1,237.06,entregue
289,289,SP,BA,Trans D,2024-04-05,2024-04-06,1,470.95,entregue
290,290,MG,RS,Trans C,2024-02-07,2024-02-14,7,465.31,entregue
291,291,RJ,DF,Trans D,2024-07-31,2024-08-07,6,277.03,entregue
292,292,MG,GO,Trans E,2024-08-19,2024-08-20,1,170.57,entregue
293,293,RJ,MG,Trans B,2024-08-28,2024-09-07,5,126.7,atraso
294,294,SP,SC,Trans C,2024-03-18,2024-03-19,2,256.33,entregue
295,295,PR,SP,Trans E,2024-01-17,2024-01-21,4,330.63,entregue
296,296,PE,BA,Trans A,2024-05-11,2024-05-18,6,140.3,entregue
297,297,PR,RJ,Trans D,2024-06-06,2024-06-08,1,254.96,entregue
298,298,MG,GO,Trans A,2024-04-02,2024-04-08,5,308.51,entregue
299,299,GO,SP,Trans E,2024-01-06,2024-01-11,5,98.28,entregue
300,300,SP,BA,Trans D,2024-03-05,2024-03-12,3,411.18,atraso
301,301,SP,BA,Trans C,2024-07-06,2024-07-07,2,404.03,entregue
302,302,BA,MG,Trans C,2024-01-12,2024-01-14,2,421.67,entregue
303,303,PR,PE,Trans B,2024-07-18,2024-07-26,7,280.98,entregue
304,304,SP,MG,Trans B,2024-02-04,2024-02-11,7,95.53,entregue
305,305,PR,PE,Trans B,2024-07-21,2024-07-21,1,212.55,entregue
306,306,BA,MG,Trans C,2024-04-11,2024-04-19,5,186.39,cancelado
307,307,GO,DF,Trans B,2024-04-01,2024-04-06,3,443.64,atraso
308,308,RJ,RS,Trans C,2024-02-01,2024-02-09,3,453.58,atraso
309,309,RJ,PR,Trans D,2024-03-27,2024-04-02,4,234.29,cancelado
310,310,PE,PR,Trans E,2024-07-24,2024-07-27,3,113.15,entregue
311,311,SP,RJ,Trans E,2024-02-16,2024-02-23,7,123.09,entregue
312,312,PE,SC,Trans C,2024-03-16,2024-03-23,6,381.42,entregue
313,313,BA,RS,Trans B,2024-04-23,2024-04-28,6,385.26,entregue
314,314,MG,BA,Trans C,2024-04-21,2024-04-25,5,111.52,entregue
315,315,SP,GO,Trans D,2024-05-11,2024-05-17,3,480.17,atraso
316,316,RS,PE,Trans B,2024-06-04,2024-06-11,7,94.62,entregue
317,317,RS,DF,Trans A,2024-07-18,2024-07-20,2,240.8,entregue
318,318,PR,SC,Trans E,2024-06-03,2024-06-04,1,478.51,entregue
319,319,SP,GO,Trans C,2024-07-14,2024-07-17,4,302.37,entregue
320,320,DF,RJ,Trans D,2024-06-15,2024-06-17,3,90.88,entregue
321,321,PE,SP,Trans B,2024-05-12,2024-05-17,4,129.46,entregue
322,322,RJ,GO,Trans C,2024-04-24,2024-05-01,6,199.94,entregue
323,323,SP,BA,Trans D,2024-02-01,2024-02-02,2,269.86,entregue
324,324,PR,MG,Trans D,2024-07-26,2024-07-27,1,360.49,entregue
325,325,PE,RS,Trans A,2024-05-18,2024-05-23,5,437.57,entregue
326,326,PR,PE,Trans B,2024-04-02,2024-04-08,7,493.76,entregue
327,327,MG,PE,Trans B,2024-07-21,2024-07-23,2,312.69,entregue
328,328,GO,SC,Trans C,2024-07-24,2024-07-29,4,107.61,em trânsito
329,329,PE,SP,Trans D,2024-07-03,2024-07-09,6,403.05,entregue
330,330,SC,PE,Trans E,2024-02-02,2024-02-06,1,268.99,em trânsito
331,331,GO,MG,Trans E,2024-02-02,2024-02-08,3,402.47,atraso
332,332,PE,PR,Trans B,2024-05-08,2024-05-13,4,297.6,em trânsito
333,333,MG,SP,Trans C,2024-02-11,2024-02-14,2,174.7,entregue
334,334,PE,DF,Trans E,2024-08-04,2024-08-06,3,346.72,entregue
335,335,GO,SP,Trans E,2024-02-02,2024-02-06,3,304.06,entregue
336,336,PE,RS,Trans E,2024-02-13,2024-02-20,6,144.76,entregue
337,337,RJ,GO,Trans E,2024-08-18,2024-08-25,6,97.3,entregue
338,338,MG,PE,Trans A,2024-01-12,2024-01-16,1,353.47,cancelado
339,339,BA,SC,Trans E,2024-06-07,2024-06-11,4,453.38,entregue
340,340,PE,BA,Trans E,2024-06-13,2024-06-18,3,417.97,em trânsito
341,341,DF,MG,Trans D,2024-04-26,2024-04-28,3,146.39,entregue
342,342,PR,DF,Trans D,2024-04-28,2024-05-03,4,140.34,entregue
343,343,RJ,MG,Trans C,2024-08-08,2024-08-14,6,134.92,entregue
344,344,PE,MG,Trans C,2024-05-23,2024-05-27,5,275.92,entregue
345,345,PE,SP,Trans C,2024-03-04,2024-03-07,4,201.89,entregue
346,346,SC,RJ,Trans D,2024-06-06,2024-06-12,7,421.66,entregue
347,347,DF,PR,Trans E,2024-03-21,2024-03-26,6,289.27,entregue
348,348,PE,SP,Trans E,2024-05-07,2024-05-16,4,89.73,atraso
349,349,SC,PR,Trans D,2024-04-27,2024-05-03,5,100.44,cancelado
350,350,GO,RJ,Trans C,2024-06-01,2024-06-10,4,200.01,atraso
351,351,DF,MG,Trans A,2024-01-28,2024-02-04,7,385.55,entregue
352,352,RS,MG,Trans D,2024-01-12,2024-01-16,3,315.96,entregue
353,353,DF,MG,Trans C,2024-03-14,2024-03-20,5,269.15,entregue
